"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
225,178,"PER","Peru",2,"Ancash",25,"Santa",225,"Coishco","Distrito","District",NA,NA
226,178,"PER","Peru",2,"Ancash",25,"Santa",226,"Macate","Distrito","District",NA,NA
227,178,"PER","Peru",2,"Ancash",25,"Santa",227,"Moro","Distrito","District",NA,NA
228,178,"PER","Peru",2,"Ancash",25,"Santa",228,"Nepeña","Distrito","District",NA,NA
229,178,"PER","Peru",2,"Ancash",25,"Santa",229,"Nuevo Chimbote","Distrito","District",NA,NA
230,178,"PER","Peru",2,"Ancash",25,"Santa",230,"Samanco","Distrito","District",NA,NA
231,178,"PER","Peru",2,"Ancash",25,"Santa",231,"Santa","Distrito","District",NA,NA
232,178,"PER","Peru",2,"Ancash",26,"Sihuas",232,"Acobamba","Distrito","District",NA,NA
233,178,"PER","Peru",2,"Ancash",26,"Sihuas",233,"Alfonso Ugarte","Distrito","District",NA,NA
234,178,"PER","Peru",2,"Ancash",26,"Sihuas",234,"Cashapampa","Distrito","District",NA,NA
235,178,"PER","Peru",2,"Ancash",26,"Sihuas",235,"Chingalpo","Distrito","District",NA,NA
236,178,"PER","Peru",2,"Ancash",26,"Sihuas",236,"Huayllabamba","Distrito","District",NA,NA
237,178,"PER","Peru",2,"Ancash",26,"Sihuas",237,"Quiches","Distrito","District",NA,NA
238,178,"PER","Peru",2,"Ancash",26,"Sihuas",238,"Ragash","Distrito","District",NA,NA
239,178,"PER","Peru",2,"Ancash",26,"Sihuas",239,"San Juan","Distrito","District",NA,NA
240,178,"PER","Peru",2,"Ancash",26,"Sihuas",240,"Sicsibamba","Distrito","District",NA,NA
241,178,"PER","Peru",2,"Ancash",26,"Sihuas",241,"Sihuas","Distrito","District",NA,NA
242,178,"PER","Peru",2,"Ancash",27,"Yungay",242,"Cascapara","Distrito","District",NA,NA
243,178,"PER","Peru",2,"Ancash",27,"Yungay",243,"Mancos","Distrito","District",NA,NA
244,178,"PER","Peru",2,"Ancash",27,"Yungay",244,"Matacoto","Distrito","District",NA,NA
245,178,"PER","Peru",2,"Ancash",27,"Yungay",245,"Quillo","Distrito","District",NA,NA
246,178,"PER","Peru",2,"Ancash",27,"Yungay",246,"Ranrahirca","Distrito","District",NA,NA
247,178,"PER","Peru",2,"Ancash",27,"Yungay",247,"Shupluy","Distrito","District",NA,NA
248,178,"PER","Peru",2,"Ancash",27,"Yungay",248,"Yanama","Distrito","District",NA,NA
249,178,"PER","Peru",2,"Ancash",27,"Yungay",249,"Yungay","Distrito","District",NA,NA
250,178,"PER","Peru",3,"Apurímac",28,"Abancay",250,"Abancay","Distrito","District",NA,NA
251,178,"PER","Peru",3,"Apurímac",28,"Abancay",251,"Chacoche","Distrito","District",NA,NA
252,178,"PER","Peru",3,"Apurímac",28,"Abancay",252,"Circa","Distrito","District",NA,NA
253,178,"PER","Peru",3,"Apurímac",28,"Abancay",253,"Curahuasi","Distrito","District",NA,NA
254,178,"PER","Peru",3,"Apurímac",28,"Abancay",254,"Huanipaca","Distrito","District",NA,NA
255,178,"PER","Peru",3,"Apurímac",28,"Abancay",255,"Lambrama","Distrito","District",NA,NA
256,178,"PER","Peru",3,"Apurímac",28,"Abancay",256,"Pichirhua","Distrito","District",NA,NA
257,178,"PER","Peru",3,"Apurímac",28,"Abancay",257,"San Pedro de Cachora","Distrito","District",NA,NA
258,178,"PER","Peru",3,"Apurímac",28,"Abancay",258,"Tamburco","Distrito","District",NA,NA
259,178,"PER","Peru",3,"Apurímac",29,"Andahuaylas",259,"Andahuaylas","Distrito","District",NA,NA
260,178,"PER","Peru",3,"Apurímac",29,"Andahuaylas",260,"Andarapa","Distrito","District",NA,NA
